
;WALLET;PLANTA;X;Y;HORA UTC;Areglado todo ;LINK DIRECTO A LAND;;;;;;;;;;;;;;;;;;
;0x91f005e71727cd77d9b6264472c5a9c5b8af96ed;610b29b0e4388c002b9d44e9;14;-13;23:59:43;https://marketplace.plantvsundead.com/farm/#/farm/610b29b0e4388c002b9d44e9;https://marketplace.plantvsundead.com/farm/other/0x91f005e71727cd77d9b6264472c5a9c5b8af96ed#/farm/610b29b0e4388c002b9d44e9;;;;;;;;;;;;;;;;;;
;0x91f005e71727cd77d9b6264472c5a9c5b8af96ed;610b29ab719691001ca0d697;14;-13;23:59:30;https://marketplace.plantvsundead.com/farm/#/farm/610b29ab719691001ca0d697;https://marketplace.plantvsundead.com/farm/other/0x91f005e71727cd77d9b6264472c5a9c5b8af96ed#/farm/610b29ab719691001ca0d697;;;;;;;;;;;;;;;;;;
;0x91f005e71727cd77d9b6264472c5a9c5b8af96ed;610b29bcb85ea1002941c75a;14;-13;23:59:19;https://marketplace.plantvsundead.com/farm/#/farm/610b29bcb85ea1002941c75a;https://marketplace.plantvsundead.com/farm/other/0x91f005e71727cd77d9b6264472c5a9c5b8af96ed#/farm/610b29bcb85ea1002941c75a;;;;;;;;;;;;;;;;;;
;0x91f005e71727cd77d9b6264472c5a9c5b8af96ed;610b2878fdf0c2001d341e5e;14;-13;23:58:16;https://marketplace.plantvsundead.com/farm/#/farm/610b2878fdf0c2001d341e5e;https://marketplace.plantvsundead.com/farm/other/0x91f005e71727cd77d9b6264472c5a9c5b8af96ed#/farm/610b2878fdf0c2001d341e5e;;;;;;;;;;;;;;;;;;
;0x38e758ad32f76e77a07dc900a68ace69500e99d0;6108ff679cb72412f5b410ce;10;16;23:57:13;https://marketplace.plantvsundead.com/farm/#/farm/6108ff679cb72412f5b410ce;https://marketplace.plantvsundead.com/farm/other/0x38e758ad32f76e77a07dc900a68ace69500e99d0#/farm/6108ff679cb72412f5b410ce;;;;;;;;;;;;;;;;;;
;0xee5de8fe961b9d2599a1eea298db87be8768889d;6107b6912586b4905540294a;-12;-9;23:54:20;https://marketplace.plantvsundead.com/farm/#/farm/6107b6912586b4905540294a;https://marketplace.plantvsundead.com/farm/other/0xee5de8fe961b9d2599a1eea298db87be8768889d#/farm/6107b6912586b4905540294a;;;;;;;;;;;;;;;;;;
;0xd670b5ba02e791db789495247e062196d4e5be50;6109d6d426fb246f55566d00;-16;-15;23:54:09;https://marketplace.plantvsundead.com/farm/#/farm/6109d6d426fb246f55566d00;https://marketplace.plantvsundead.com/farm/other/0xd670b5ba02e791db789495247e062196d4e5be50#/farm/6109d6d426fb246f55566d00;;;;;;;;;;;;;;;;;;
;0xd670b5ba02e791db789495247e062196d4e5be50;6109d6cab4e3925abd37e9ad;-16;-15;23:53:46;https://marketplace.plantvsundead.com/farm/#/farm/6109d6cab4e3925abd37e9ad;https://marketplace.plantvsundead.com/farm/other/0xd670b5ba02e791db789495247e062196d4e5be50#/farm/6109d6cab4e3925abd37e9ad;;;;;;;;;;;;;;;;;;
;0x92d30ed2a89748ef94892673f02b04836944127e;6107bde08ff48ecb20b0052b;3;15;23:53:21;https://marketplace.plantvsundead.com/farm/#/farm/6107bde08ff48ecb20b0052b;https://marketplace.plantvsundead.com/farm/other/0x92d30ed2a89748ef94892673f02b04836944127e#/farm/6107bde08ff48ecb20b0052b;;;;;;;;;;;;;;;;;;
;0xeda679cd559e2736bc00c870183ad7254312a20b;610d10cd85313d001cc4ed41;13;-16;23:53:21;https://marketplace.plantvsundead.com/farm/#/farm/610d10cd85313d001cc4ed41;https://marketplace.plantvsundead.com/farm/other/0xeda679cd559e2736bc00c870183ad7254312a20b#/farm/610d10cd85313d001cc4ed41;;;;;;;;;;;;;;;;;;
;0xeccb261a31e46752c89fa57d0948196af9027c4a;61073a2913754b74b0d541a2;-5;-13;23:52:46;https://marketplace.plantvsundead.com/farm/#/farm/61073a2913754b74b0d541a2;https://marketplace.plantvsundead.com/farm/other/0xeccb261a31e46752c89fa57d0948196af9027c4a#/farm/61073a2913754b74b0d541a2;;;;;;;;;;;;;;;;;;
;0x51781c2383fd2c0306e6557a02052804f4d2ef55;61106e0bfcbf380023ca37f8;13;-13;23:52:08;https://marketplace.plantvsundead.com/farm/#/farm/61106e0bfcbf380023ca37f8;https://marketplace.plantvsundead.com/farm/other/0x51781c2383fd2c0306e6557a02052804f4d2ef55#/farm/61106e0bfcbf380023ca37f8;;;;;;;;;;;;;;;;;;
;0x7abc95d4ff776d1389b1ca28dc4de0fa3b97241d;610851b4620c363d8e5d54ce;-5;-7;23:49:51;https://marketplace.plantvsundead.com/farm/#/farm/610851b4620c363d8e5d54ce;https://marketplace.plantvsundead.com/farm/other/0x7abc95d4ff776d1389b1ca28dc4de0fa3b97241d#/farm/610851b4620c363d8e5d54ce;;;;;;;;;;;;;;;;;;
;0x576e78f9522b896dd6f34f93126a70dc6ed297a7;61106d231bf1e4001dab0adb;-6;-2;23:48:59;https://marketplace.plantvsundead.com/farm/#/farm/61106d231bf1e4001dab0adb;https://marketplace.plantvsundead.com/farm/other/0x576e78f9522b896dd6f34f93126a70dc6ed297a7#/farm/61106d231bf1e4001dab0adb;;;;;;;;;;;;;;;;;;
;0x7bc1c2e788a30208150addd5020723d7a978b7dd;61074dc01672600494cfbeaf;-3;-16;23:48:51;https://marketplace.plantvsundead.com/farm/#/farm/61074dc01672600494cfbeaf;https://marketplace.plantvsundead.com/farm/other/0x7bc1c2e788a30208150addd5020723d7a978b7dd#/farm/61074dc01672600494cfbeaf;;;;;;;;;;;;;;;;;;
;0x576e78f9522b896dd6f34f93126a70dc6ed297a7;61106d1e08efca002272df32;-6;-2;23:48:46;https://marketplace.plantvsundead.com/farm/#/farm/61106d1e08efca002272df32;https://marketplace.plantvsundead.com/farm/other/0x576e78f9522b896dd6f34f93126a70dc6ed297a7#/farm/61106d1e08efca002272df32;;;;;;;;;;;;;;;;;;
;0x67f40256d7755fe086b4b69c01abd8e728ca4a7b;610a9499be41bc00220082c9;3;5;23:48:46;https://marketplace.plantvsundead.com/farm/#/farm/610a9499be41bc00220082c9;https://marketplace.plantvsundead.com/farm/other/0x67f40256d7755fe086b4b69c01abd8e728ca4a7b#/farm/610a9499be41bc00220082c9;;;;;;;;;;;;;;;;;;
;0x61dbdd905315767a42839f3958de3124d5e1bdc7;610a789cac2b47001c9be0c3;-6;13;23:48:46;https://marketplace.plantvsundead.com/farm/#/farm/610a789cac2b47001c9be0c3;https://marketplace.plantvsundead.com/farm/other/0x61dbdd905315767a42839f3958de3124d5e1bdc7#/farm/610a789cac2b47001c9be0c3;;;;;;;;;;;;;;;;;;
;0x7ef5bc3a815e6422a795332eaa4f472ba18234f5;61073d5aa18a74d0fdb70204;2;9;23:48:46;https://marketplace.plantvsundead.com/farm/#/farm/61073d5aa18a74d0fdb70204;https://marketplace.plantvsundead.com/farm/other/0x7ef5bc3a815e6422a795332eaa4f472ba18234f5#/farm/61073d5aa18a74d0fdb70204;;;;;;;;;;;;;;;;;;
;0x576e78f9522b896dd6f34f93126a70dc6ed297a7;61106d1bc132e7001d75db82;-6;-2;23:48:30;https://marketplace.plantvsundead.com/farm/#/farm/61106d1bc132e7001d75db82;https://marketplace.plantvsundead.com/farm/other/0x576e78f9522b896dd6f34f93126a70dc6ed297a7#/farm/61106d1bc132e7001d75db82;;;;;;;;;;;;;;;;;;
;0x06ffa040521a1b6788bd7d4eaddf1e17b3fb089d;6107d06e2586b4076a4044ba;6;9;23:48:15;https://marketplace.plantvsundead.com/farm/#/farm/6107d06e2586b4076a4044ba;https://marketplace.plantvsundead.com/farm/other/0x06ffa040521a1b6788bd7d4eaddf1e17b3fb089d#/farm/6107d06e2586b4076a4044ba;;;;;;;;;;;;;;;;;;
;0x576e78f9522b896dd6f34f93126a70dc6ed297a7;61106d163e273f001b80b939;-6;-2;23:48:12;https://marketplace.plantvsundead.com/farm/#/farm/61106d163e273f001b80b939;https://marketplace.plantvsundead.com/farm/other/0x576e78f9522b896dd6f34f93126a70dc6ed297a7#/farm/61106d163e273f001b80b939;;;;;;;;;;;;;;;;;;
;0x06ffa040521a1b6788bd7d4eaddf1e17b3fb089d;6107d090fd5f731d614e6f2a;6;9;23:48:10;https://marketplace.plantvsundead.com/farm/#/farm/6107d090fd5f731d614e6f2a;https://marketplace.plantvsundead.com/farm/other/0x06ffa040521a1b6788bd7d4eaddf1e17b3fb089d#/farm/6107d090fd5f731d614e6f2a;;;;;;;;;;;;;;;;;;
;0xeccb261a31e46752c89fa57d0948196af9027c4a;61073a326533331c8c763980;-5;-13;23:48:10;https://marketplace.plantvsundead.com/farm/#/farm/61073a326533331c8c763980;https://marketplace.plantvsundead.com/farm/other/0xeccb261a31e46752c89fa57d0948196af9027c4a#/farm/61073a326533331c8c763980;;;;;;;;;;;;;;;;;;
;0xbd2e90409031e67ed3185330fe9d4e96dcf65ebe;61077b215929e87ec93506fe;-16;-1;23:48:10;https://marketplace.plantvsundead.com/farm/#/farm/61077b215929e87ec93506fe;https://marketplace.plantvsundead.com/farm/other/0xbd2e90409031e67ed3185330fe9d4e96dcf65ebe#/farm/61077b215929e87ec93506fe;;;;;;;;;;;;;;;;;;
;0x91f005e71727cd77d9b6264472c5a9c5b8af96ed;610b26c33fcc1e001d94f73e;14;-13;23:47:53;https://marketplace.plantvsundead.com/farm/#/farm/610b26c33fcc1e001d94f73e;https://marketplace.plantvsundead.com/farm/other/0x91f005e71727cd77d9b6264472c5a9c5b8af96ed#/farm/610b26c33fcc1e001d94f73e;;;;;;;;;;;;;;;;;;
;0xe60f74ece65f47edccc6d49c2ad4f2100b345ee2;6108524bdf29fddc3c2ca840;-2;-1;23:47:40;https://marketplace.plantvsundead.com/farm/#/farm/6108524bdf29fddc3c2ca840;https://marketplace.plantvsundead.com/farm/other/0xe60f74ece65f47edccc6d49c2ad4f2100b345ee2#/farm/6108524bdf29fddc3c2ca840;;;;;;;;;;;;;;;;;;
;0x91f005e71727cd77d9b6264472c5a9c5b8af96ed;610b26bf719691001ca0cfda;14;-13;23:47:18;https://marketplace.plantvsundead.com/farm/#/farm/610b26bf719691001ca0cfda;https://marketplace.plantvsundead.com/farm/other/0x91f005e71727cd77d9b6264472c5a9c5b8af96ed#/farm/610b26bf719691001ca0cfda;;;;;;;;;;;;;;;;;;
;0x2f68cd6609d37ee9e3ef804f5d9ae23cea947e1f;6107d72f2586b42775405307;1;-5;23:47:05;https://marketplace.plantvsundead.com/farm/#/farm/6107d72f2586b42775405307;https://marketplace.plantvsundead.com/farm/other/0x2f68cd6609d37ee9e3ef804f5d9ae23cea947e1f#/farm/6107d72f2586b42775405307;;;;;;;;;;;;;;;;;;
;0x0ad5709b7bc719fa4173f8a4d556e7f7b7a48577;6107e95eb4acb9bd133c9325;-16;15;23:46:53;https://marketplace.plantvsundead.com/farm/#/farm/6107e95eb4acb9bd133c9325;https://marketplace.plantvsundead.com/farm/other/0x0ad5709b7bc719fa4173f8a4d556e7f7b7a48577#/farm/6107e95eb4acb9bd133c9325;;;;;;;;;;;;;;;;;;
;0x01a19fdaf19740e37b6db81d9265a81756d05dc2;6107dfcf8ff48e171fb03a01;15;13;23:46:27;https://marketplace.plantvsundead.com/farm/#/farm/6107dfcf8ff48e171fb03a01;https://marketplace.plantvsundead.com/farm/other/0x01a19fdaf19740e37b6db81d9265a81756d05dc2#/farm/6107dfcf8ff48e171fb03a01;;;;;;;;;;;;;;;;;;
;0x829d78e8e8ba37a875fd579769c547993790468d;6107624e1672601280cfc710;1;5;23:46:27;https://marketplace.plantvsundead.com/farm/#/farm/6107624e1672601280cfc710;https://marketplace.plantvsundead.com/farm/other/0x829d78e8e8ba37a875fd579769c547993790468d#/farm/6107624e1672601280cfc710;;;;;;;;;;;;;;;;;;
;0x3c4e524f55f78dc420b996e28c6767112c78e468;6107b2516b8639859fcfc146;-5;11;23:45:53;https://marketplace.plantvsundead.com/farm/#/farm/6107b2516b8639859fcfc146;https://marketplace.plantvsundead.com/farm/other/0x3c4e524f55f78dc420b996e28c6767112c78e468#/farm/6107b2516b8639859fcfc146;;;;;;;;;;;;;;;;;;
;0x3f07b4ae6b38b99c3569176dee66aae7d1b7b92e;610c1576f1539900228f63e5;-10;16;23:45:53;https://marketplace.plantvsundead.com/farm/#/farm/610c1576f1539900228f63e5;https://marketplace.plantvsundead.com/farm/other/0x3f07b4ae6b38b99c3569176dee66aae7d1b7b92e#/farm/610c1576f1539900228f63e5;;;;;;;;;;;;;;;;;;
;0xf07816343ad784de6956261a5eec09cd64dff3ad;61074de56347d2f7adc65fbf;-12;-13;23:45:53;https://marketplace.plantvsundead.com/farm/#/farm/61074de56347d2f7adc65fbf;https://marketplace.plantvsundead.com/farm/other/0xf07816343ad784de6956261a5eec09cd64dff3ad#/farm/61074de56347d2f7adc65fbf;;;;;;;;;;;;;;;;;;
;0x07fb5a06d0db3df34bf43c229af9132a056e7733;6107b4da45c39967557caf23;-1;16;23:45:53;https://marketplace.plantvsundead.com/farm/#/farm/6107b4da45c39967557caf23;https://marketplace.plantvsundead.com/farm/other/0x07fb5a06d0db3df34bf43c229af9132a056e7733#/farm/6107b4da45c39967557caf23;;;;;;;;;;;;;;;;;;
;0x73f9abd65485c52ae2c1b436957b84aded5e5c8c;6107b80afd5f7351f14e559b;-14;-8;23:45:23;https://marketplace.plantvsundead.com/farm/#/farm/6107b80afd5f7351f14e559b;https://marketplace.plantvsundead.com/farm/other/0x73f9abd65485c52ae2c1b436957b84aded5e5c8c#/farm/6107b80afd5f7351f14e559b;;;;;;;;;;;;;;;;;;
;0x01a19fdaf19740e37b6db81d9265a81756d05dc2;6107df0b2586b43cc4406685;15;13;23:45:18;https://marketplace.plantvsundead.com/farm/#/farm/6107df0b2586b43cc4406685;https://marketplace.plantvsundead.com/farm/other/0x01a19fdaf19740e37b6db81d9265a81756d05dc2#/farm/6107df0b2586b43cc4406685;;;;;;;;;;;;;;;;;;
;0xcaa70a0b4fddf29d69df6a7d98bbdf20077b1fbb;610ae22dd3df68002910644b;-14;-11;23:45:18;https://marketplace.plantvsundead.com/farm/#/farm/610ae22dd3df68002910644b;https://marketplace.plantvsundead.com/farm/other/0xcaa70a0b4fddf29d69df6a7d98bbdf20077b1fbb#/farm/610ae22dd3df68002910644b;;;;;;;;;;;;;;;;;;
;0x5ecfa5fa152baa78053bd77b9682b0dda71141c8;610824dddf29fdbf552c607f;-9;5;23:45:18;https://marketplace.plantvsundead.com/farm/#/farm/610824dddf29fdbf552c607f;https://marketplace.plantvsundead.com/farm/other/0x5ecfa5fa152baa78053bd77b9682b0dda71141c8#/farm/610824dddf29fdbf552c607f;;;;;;;;;;;;;;;;;;
;0x6c7b8d78686d443b6e5eaaf04bda892034316290;610736ba65333366d076356f;16;-4;23:45:18;https://marketplace.plantvsundead.com/farm/#/farm/610736ba65333366d076356f;https://marketplace.plantvsundead.com/farm/other/0x6c7b8d78686d443b6e5eaaf04bda892034316290#/farm/610736ba65333366d076356f;;;;;;;;;;;;;;;;;;
;0x9cd4ddf0744723f8f89a68f83d88e9a6ba4e9691;61076f4eae455214eb0b5ef4;8;16;23:45:18;https://marketplace.plantvsundead.com/farm/#/farm/61076f4eae455214eb0b5ef4;https://marketplace.plantvsundead.com/farm/other/0x9cd4ddf0744723f8f89a68f83d88e9a6ba4e9691#/farm/61076f4eae455214eb0b5ef4;;;;;;;;;;;;;;;;;;
;0xa3b67264ef0aeb2284570c22abb57f683e8b75fd;61088246ae6dd18161a06bf1;-3;-10;23:44:56;https://marketplace.plantvsundead.com/farm/#/farm/61088246ae6dd18161a06bf1;https://marketplace.plantvsundead.com/farm/other/0xa3b67264ef0aeb2284570c22abb57f683e8b75fd#/farm/61088246ae6dd18161a06bf1;;;;;;;;;;;;;;;;;;
;0xcfeb6adb655c2ea30e82b3812aa54884f553a446;6107e07eb4acb97b923c764a;12;4;23:44:43;https://marketplace.plantvsundead.com/farm/#/farm/6107e07eb4acb97b923c764a;https://marketplace.plantvsundead.com/farm/other/0xcfeb6adb655c2ea30e82b3812aa54884f553a446#/farm/6107e07eb4acb97b923c764a;;;;;;;;;;;;;;;;;;
;0x0231ffe3d56064d3e480fbc47742d6bfb59a9101;61073855818090002fe24ae6;-8;-7;23:44:43;https://marketplace.plantvsundead.com/farm/#/farm/61073855818090002fe24ae6;https://marketplace.plantvsundead.com/farm/other/0x0231ffe3d56064d3e480fbc47742d6bfb59a9101#/farm/61073855818090002fe24ae6;;;;;;;;;;;;;;;;;;
;0x3aedb97569ad578038498af46f071045b1f36476;610c1c0784afed001b4ea773;10;12;23:44:43;https://marketplace.plantvsundead.com/farm/#/farm/610c1c0784afed001b4ea773;https://marketplace.plantvsundead.com/farm/other/0x3aedb97569ad578038498af46f071045b1f36476#/farm/610c1c0784afed001b4ea773;;;;;;;;;;;;;;;;;;
;0x19f6c6c789619bb4313a59401069399896455073;6107a769cb54c382907e78bc;6;-6;23:44:37;https://marketplace.plantvsundead.com/farm/#/farm/6107a769cb54c382907e78bc;https://marketplace.plantvsundead.com/farm/other/0x19f6c6c789619bb4313a59401069399896455073#/farm/6107a769cb54c382907e78bc;;;;;;;;;;;;;;;;;;
;0x0f21704837074e1ba25827ed9300495ed646c78e;6107375413754bb5acd53e79;6;-11;23:44:13;https://marketplace.plantvsundead.com/farm/#/farm/6107375413754bb5acd53e79;https://marketplace.plantvsundead.com/farm/other/0x0f21704837074e1ba25827ed9300495ed646c78e#/farm/6107375413754bb5acd53e79;;;;;;;;;;;;;;;;;;
;0xd16cdd29022c8a5b0fe3df20ec1255bf44ce50db;6107b887fd5f73444c4e5637;9;10;23:44:13;https://marketplace.plantvsundead.com/farm/#/farm/6107b887fd5f73444c4e5637;https://marketplace.plantvsundead.com/farm/other/0xd16cdd29022c8a5b0fe3df20ec1255bf44ce50db#/farm/6107b887fd5f73444c4e5637;;;;;;;;;;;;;;;;;;
;0x93b4589628c950ef3d525b1ffd6187daa785715c;6108b9f5ae6dd15e19a139f1;-5;-2;23:44:07;https://marketplace.plantvsundead.com/farm/#/farm/6108b9f5ae6dd15e19a139f1;https://marketplace.plantvsundead.com/farm/other/0x93b4589628c950ef3d525b1ffd6187daa785715c#/farm/6108b9f5ae6dd15e19a139f1;;;;;;;;;;;;;;;;;;
;0x01a19fdaf19740e37b6db81d9265a81756d05dc2;61083b5f4b9fb26445247ac9;15;13;23:44:02;https://marketplace.plantvsundead.com/farm/#/farm/61083b5f4b9fb26445247ac9;https://marketplace.plantvsundead.com/farm/other/0x01a19fdaf19740e37b6db81d9265a81756d05dc2#/farm/61083b5f4b9fb26445247ac9;;;;;;;;;;;;;;;;;;
;0x90a2deb1b5ab3dc8cceac470f8e3789c5a4c5df1;610c1d4eb98bb4001b3a10be;-8;4;23:44:02;https://marketplace.plantvsundead.com/farm/#/farm/610c1d4eb98bb4001b3a10be;https://marketplace.plantvsundead.com/farm/other/0x90a2deb1b5ab3dc8cceac470f8e3789c5a4c5df1#/farm/610c1d4eb98bb4001b3a10be;;;;;;;;;;;;;;;;;;
;0x17a3fe22a4b92750e69d95e32764c15baa266991;6107c4ab8ff48e3b1eb00c0d;3;2;23:44:02;https://marketplace.plantvsundead.com/farm/#/farm/6107c4ab8ff48e3b1eb00c0d;https://marketplace.plantvsundead.com/farm/other/0x17a3fe22a4b92750e69d95e32764c15baa266991#/farm/6107c4ab8ff48e3b1eb00c0d;;;;;;;;;;;;;;;;;;
